日付,方法,カテゴリ,カテゴリの内訳,支払元,入金先,品目,メモ,お店,通貨,収入,支出,振替
2023-03-22,payment,食費,食料品,現金,-,不明,,業務スーパー　リカーキング府中本宿店,JPY,0,-116,0
2023-03-22,payment,食費,食料品,現金,-,釧圏BI,,業務スーパー　リカーキング府中本宿店,JPY,0,11,0
2023-03-22,payment,食費,食料品,現金,-,小II,,業務スーパー　リカーキング府中本宿店,JPY,0,143,0
2023-03-22,payment,食費,食料品,現金,-,タ884M1棄鎮きそぱ,,業務スーパー　リカーキング府中本宿店,JPY,0,23,0
2023-03-22,payment,食費,食料品,現金,-,タ8hNハチ荒挽こしょう,,業務スーパー　リカーキング府中本宿店,JPY,0,78,0
2023-03-22,payment,食費,食料品,現金,-,"N%&輪1Aト80c,j12:舅麒濡",,業務スーパー　リカーキング府中本宿店,JPY,0,15,0
2023-03-22,payment,食費,食料品,現金,-,不明,,ロピア,JPY,0,57,0
2023-03-22,payment,食費,食料品,現金,-,キャベツ,,ロピア,JPY,0,159,0
2023-03-22,payment,食費,食料品,現金,-,スカイリーフカラダオモイノコメアブラ,,ロピア,JPY,0,399,0
2023-03-22,payment,食費,食料品,現金,-,スプーンジョウハクトウ,,ロピア,JPY,0,159,0
2023-03-20,payment,食費,食料品,現金,-,不明,,オーケー　西国分寺店,JPY,0,71,0
2023-03-20,payment,食費,食料品,-,-,外税,,クリエイトＳ・Ｄ府中武蔵台店,JPY,0,105,0
2023-03-20,payment,食費,食料品,-,-,ブルガリアフローズンヨーグル,,クリエイトＳ・Ｄ府中武蔵台店,JPY,0,190,0
2023-03-20,payment,食費,食料品,-,-,ブラック,,クリエイトＳ・Ｄ府中武蔵台店,JPY,0,55,0
2023-03-20,payment,食費,食料品,-,-,復刻3色トリノ,,クリエイトＳ・Ｄ府中武蔵台店,JPY,0,55,0
2023-03-20,payment,食費,食料品,-,-,爽練乳いちご,,クリエイトＳ・Ｄ府中武蔵台店,JPY,0,79,0
2023-03-20,payment,食費,食料品,-,-,爽メロンソーダフロート,,クリエイトＳ・Ｄ府中武蔵台店,JPY,0,158,0
2023-03-20,payment,食費,食料品,-,-,爽10年目のバニラ,,クリエイトＳ・Ｄ府中武蔵台店,JPY,0,79,0
2023-03-20,payment,食費,食料品,-,-,アサヒ贅沢搾り桃3,,クリエイトＳ・Ｄ府中武蔵台店,JPY,0,98,0
2023-03-20,payment,食費,食料品,-,-,アサヒ贅沢搾りグレー,,クリエイトＳ・Ｄ府中武蔵台店,JPY,0,98,0
2023-03-20,payment,食費,食料品,-,-,ブルガリアヨーグルトLB,,クリエイトＳ・Ｄ府中武蔵台店,JPY,0,128,0
2023-03-20,payment,食費,食料品,-,-,トモヱ乳業北海道プレー,,クリエイトＳ・Ｄ府中武蔵台店,JPY,0,105,0
2023-03-20,payment,食費,食料品,-,-,ウィルフィリピン産バナ,,クリエイトＳ・Ｄ府中武蔵台店,JPY,0,98,0
2023-03-20,payment,食費,食料品,-,-,越後製菓ふんわり名人き,,クリエイトＳ・Ｄ府中武蔵台店,JPY,0,138,0
2023-03-20,payment,食費,食料品,現金,-,大介払い,,オーケー　西国分寺店,JPY,0,-330,0
2023-03-20,payment,食費,食料品,現金,-,外税,,オーケー　西国分寺店,JPY,0,44,0
2023-03-20,payment,食費,食料品,現金,-,割引,,オーケー　西国分寺店,JPY,0,-15,0
2023-03-20,payment,食費,食料品,現金,-,割引,,オーケー　西国分寺店,JPY,0,-71,0
2023-03-20,payment,食費,食料品,現金,-,ニッシンナマパスタタラコトウニ,,オーケー　西国分寺店,JPY,0,161,0
2023-03-20,payment,食費,食料品,現金,-,ニッシンチュウカシルナシタンタンメン,,オーケー　西国分寺店,JPY,0,152,0
2023-03-20,payment,食費,食料品,現金,-,イセアカドリノウマミサンラン10コ,,オーケー　西国分寺店,JPY,0,258,0
2023-03-15,payment,日用雑貨,消耗品,-,-,外税,,,JPY,0,30,0
2023-03-15,payment,日用雑貨,消耗品,-,-,チャック付マスクポーチ,,,JPY,0,100,0
2023-03-15,payment,日用雑貨,消耗品,-,-,キレイストッカースモール,,,JPY,0,100,0
2023-03-15,payment,日用雑貨,消耗品,-,-,シャカシャカねぎポット,,,JPY,0,100,0
2023-03-14,payment,食費,食料品,現金,-,外税,,ロピア,JPY,0,111,0
2023-03-14,payment,食費,食料品,現金,-,コクサンワカドリムネニク1マイ,,ロピア,JPY,0,721,0
2023-03-14,payment,食費,食料品,現金,-,ヒトカブマイタケ,,ロピア,JPY,0,159,0
2023-03-14,payment,食費,食料品,現金,-,キャベツ,,ロピア,JPY,0,159,0
2023-03-14,payment,食費,食料品,現金,-,ロッテソウメロンソーダ,,ロピア,JPY,0,178,0
2023-03-14,payment,食費,食料品,現金,-,メイジエッセルスーパーカップマッチャ,,ロピア,JPY,0,178,0
2023-03-14,payment,食費,食料品,-,-,外税,,業務スーパー　リカーキング府中本宿店,JPY,0,53,0
2023-03-14,payment,食費,食料品,-,-,1食焼きそば,,業務スーパー　リカーキング府中本宿店,JPY,0,23,0
2023-03-14,payment,食費,食料品,-,-,緑の小籾納豆,,業務スーパー　リカーキング府中本宿店,JPY,0,84,0
2023-03-14,payment,食費,食料品,-,-,白菜キムチ40,,業務スーパー　リカーキング府中本宿店,JPY,0,188,0
2023-03-14,payment,食費,食料品,-,-,肉だんご,,業務スーパー　リカーキング府中本宿店,JPY,0,170,0
2023-03-14,payment,食費,食料品,-,-,冷凍バラ,,業務スーパー　リカーキング府中本宿店,JPY,0,198,0
2023-03-12,payment,日用雑貨,消耗品,-,-,外税,,クリエイトＳ・Ｄ府中武蔵台店,JPY,0,11,0
2023-03-12,payment,日用雑貨,消耗品,-,-,o森永あじわい便り1000,,クリエイトＳ・Ｄ府中武蔵台店,JPY,0,148,0
2023-03-12,payment,日用雑貨,消耗品,-,-,ゴミ袋,,ダイソー,JPY,0,110,0
2023-03-12,payment,日用雑貨,消耗品,-,-,蛍光灯,,Amazon,JPY,0,1982,0
2023-03-11,payment,住まい,家電,-,-,設置・運搬費料,,,JPY,0,1760,0
2023-03-11,payment,住まい,家電,-,-,リサイクル料金,,,JPY,0,3740,0
2023-03-11,payment,住まい,家電,-,-,冷蔵庫,,,JPY,0,33200,0
2023-03-10,payment,水道・光熱,水道料金,-,-,,,,JPY,0,3333,0
2023-03-10,payment,日用雑貨,消耗品,-,-,割引,,,JPY,0,-33,0
2023-03-10,payment,日用雑貨,消耗品,-,-,パヌノフレゆず,,,JPY,0,217,0
2023-03-09,payment,食費,食料品,現金,-,外税,,オーケー　西国分寺店,JPY,0,25,0
2023-03-09,payment,食費,食料品,現金,-,割引,,オーケー　西国分寺店,JPY,0,-8,0
2023-03-09,payment,食費,食料品,現金,-,Fイセアカドリノウマミサンラン10コ,,オーケー　西国分寺店,JPY,0,234,0
2023-03-09,payment,食費,食料品,現金,-,Fソウレンニュウイチゴ,,オーケー　西国分寺店,JPY,0,90,0
2023-03-07,payment,食費,食料品,-,-,外税,,業務スーパー　リカーキング府中本宿店,JPY,0,67,0
2023-03-07,payment,食費,食料品,-,-,ゝヽ1食焼きそば,,業務スーパー　リカーキング府中本宿店,JPY,0,23,0
2023-03-07,payment,食費,食料品,-,-,緑の小粒納豆,,業務スーパー　リカーキング府中本宿店,JPY,0,84,0
